weight_for_child,sachets_per_week,sachets_per_day
3.5,10,1.5
3.6,10,1.5
3.7,10,1.5
3.8,10,1.5
3.9,10,1.5
4,11,1.5
4.1,11,1.5
4.2,11,1.5
4.3,11,1.5
4.4,11,1.5
4.5,12,1.75
4.6,12,1.75
4.7,12,1.75
4.8,12,1.75
4.9,12,1.75
5,14,2
5.1,14,2
5.2,14,2
5.3,14,2
5.4,14,2
5.5,14,2
5.6,14,2
5.7,14,2
5.8,14,2
5.9,14,2
6,17,2.5
6.1,17,2.5
6.2,17,2.5
6.3,17,2.5
6.4,17,2.5
6.5,17,2.5
6.6,17,2.5
6.7,17,2.5
6.8,17,2.5
6.9,17,2.5
7,20,3
7.1,20,3
7.2,20,3
7.3,20,3
7.4,20,3
7.5,20,3
7.6,20,3
7.7,20,3
7.8,20,3
7.9,20,3
8,23,3.25
8.1,23,3.25
8.2,23,3.25
8.3,23,3.25
8.4,23,3.25
8.5,23,3.25
8.6,23,3.25
8.7,23,3.25
8.8,23,3.25
8.9,23,3.25
9,26,3.75
9.1,26,3.75
9.2,26,3.75
9.3,26,3.75
9.4,26,3.75
9.5,26,3.75
9.6,26,3.75
9.7,26,3.75
9.8,26,3.75
9.9,26,3.75
10,28,4
10.1,28,4
10.2,28,4
10.3,28,4
10.4,28,4
10.5,28,4
10.6,28,4
10.7,28,4
10.8,28,4
10.9,28,4
11,28,4
11.1,28,4
11.2,28,4
11.3,28,4
11.4,28,4
11.5,28,4
11.6,28,4
11.7,28,4
11.8,28,4
11.9,28,4
12,35,5
12.1,35,5
12.2,35,5
12.3,35,5
12.4,35,5
12.5,35,5
12.6,35,5
12.7,35,5
12.8,35,5
12.9,35,5
13,35,5
13.1,35,5
13.2,35,5
13.3,35,5
13.4,35,5
13.5,35,5
13.6,35,5
13.7,35,5
13.8,35,5
13.9,35,5
14,35,5
14.1,35,5
14.2,35,5
14.3,35,5
14.4,35,5
14.5,35,5
14.6,35,5
14.7,35,5
14.8,35,5
14.9,35,5
15,45,6.5
15.1,45,6.5
15.2,45,6.5
15.3,45,6.5
15.4,45,6.5
15.5,45,6.5
15.6,45,6.5
15.7,45,6.5
15.8,45,6.5
15.9,45,6.5
16,45,6.5
16.1,45,6.5
16.2,45,6.5
16.3,45,6.5
16.4,45,6.5
16.5,45,6.5
16.6,45,6.5
16.7,45,6.5
16.8,45,6.5
16.9,45,6.5
17,45,6.5
17.1,45,6.5
17.2,45,6.5
17.3,45,6.5
17.4,45,6.5
17.5,45,6.5
17.6,45,6.5
17.7,45,6.5
17.8,45,6.5
17.9,45,6.5
18,45,6.5
18.1,45,6.5
18.2,45,6.5
18.3,45,6.5
18.4,45,6.5
18.5,45,6.5
18.6,45,6.5
18.7,45,6.5
18.8,45,6.5
18.9,45,6.5
19,45,6.5
19.1,45,6.5
19.2,45,6.5
19.3,45,6.5
19.4,45,6.5
19.5,45,6.5
19.6,45,6.5
19.7,45,6.5
19.8,45,6.5
19.9,45,6.5
20,60,8.5
20.1,60,8.5
20.2,60,8.5
20.3,60,8.5
20.4,60,8.5
20.5,60,8.5
20.6,60,8.5
20.7,60,8.5
20.8,60,8.5
20.9,60,8.5
21,60,8.5
21.1,60,8.5
21.2,60,8.5
21.3,60,8.5
21.4,60,8.5
21.5,60,8.5
21.6,60,8.5
21.7,60,8.5
21.8,60,8.5
21.9,60,8.5
22,60,8.5
22.1,60,8.5
22.2,60,8.5
22.3,60,8.5
22.4,60,8.5
22.5,60,8.5
22.6,60,8.5
22.7,60,8.5
22.8,60,8.5
22.9,60,8.5
23,60,8.5
23.1,60,8.5
23.2,60,8.5
23.3,60,8.5
23.4,60,8.5
23.5,60,8.5
23.6,60,8.5
23.7,60,8.5
23.8,60,8.5
23.9,60,8.5
24,60,8.5
24.1,60,8.5
24.2,60,8.5
24.3,60,8.5
24.4,60,8.5
24.5,60,8.5
24.6,60,8.5
24.7,60,8.5
24.8,60,8.5
24.9,60,8.5
